code,name,commit,available_at,price_session,reaction,rs20,acceleration,volume_ratio,bias20,ret5,company_evidence_at_time,international_at_time,hypothetical_action,price_reason,price_history_available,price,status,outcome_basis,outcome_1d,outcome_3d,outcome_5d,outcome_10d,closed_session_at_publication,archived_global_driver_states
8227,巨有科技,0108dad0df9c9df48482b1e2657ba6445fbe5b1c,2026-09-09T00:25:27Z,2026-09-08,CONFIRMING,0.0855264608854602,0.0627508490274776,2.036092210799675,0.1365430149960536,0.0975609756097561,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Need sealed OHLCV,False,180.0,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",0.08196721311475419,0.30601092896174853,,,True,MIXED_OR_MISSING
6538,倉和,0108dad0df9c9df48482b1e2657ba6445fbe5b1c,2026-09-09T00:25:27Z,2026-09-08,EXTENDED,1.0428575032680492,0.1244356149539462,0.3210347169157531,0.4594225960445557,0.420353982300885,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,PASS,Extended price: wait for a new base; do not chase,False,321.0,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",0.09062499999999996,0.1499999999999999,,,True,MIXED_OR_MISSING
3624,光頡,92c542496b747fd976d496ec712e6cc0e74e8660,2026-09-09T22:31:59Z,2026-09-09,CONFIRMING,0.0898083609028947,0.1137884003377281,2.6795432332940528,0.1432042827452511,0.1629213483146068,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Need sealed OHLCV,False,103.5,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",0.12935323383084585,,,,True,MIXED_OR_MISSING
2305,全友,92c542496b747fd976d496ec712e6cc0e74e8660,2026-09-09T22:31:59Z,2026-09-09,CONFIRMING,0.1743541731504476,0.0999772770651746,1.7073801071962482,0.1826322021475559,0.164725487141931,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Need sealed OHLCV,False,35.0,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",0.06944444444444442,,,,True,MIXED_OR_MISSING
6179,亞通,92c542496b747fd976d496ec712e6cc0e74e8660,2026-09-09T22:31:59Z,2026-09-09,EXTENDED,0.1816461883771691,0.1347227915681667,5.464046351559584,0.2570146355900213,0.223529463054753,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Extended price: wait for a new base; do not chase,False,36.400001525878906,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",-0.011642968828822764,,,,True,MIXED_OR_MISSING
8227,巨有科技,92c542496b747fd976d496ec712e6cc0e74e8660,2026-09-09T22:31:59Z,2026-09-09,EXTENDED,0.0952460276285724,0.1723241050961029,7.067679920649712,0.2349914236706689,0.233644859813084,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Extended price: wait for a new base; do not chase,False,198.0,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",0.0714285714285714,,,,True,MIXED_OR_MISSING
6538,倉和,92c542496b747fd976d496ec712e6cc0e74e8660,2026-09-09T22:31:59Z,2026-09-09,EXTENDED,1.1396789906872136,0.114178881337561,0.3720391142853951,0.5218576256404666,0.4044265593561369,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,PASS,Extended price: wait for a new base; do not chase,False,349.0,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",0.0014792899408284654,,,,True,MIXED_OR_MISSING
3055,蔚華科,92c542496b747fd976d496ec712e6cc0e74e8660,2026-09-09T22:31:59Z,2026-09-09,EXTENDED,0.3268975400788012,-0.0166275430359936,3.6273907210766696,0.2020100502512563,0.0528169014084507,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Extended price: wait for a new base; do not chase,False,149.5,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",0.0847457627118644,,,,True,MIXED_OR_MISSING
6179,亞通,315593c62aad24c20f49474f874a924806be4a86,2026-09-10T13:03:24Z,2026-09-10,EXTENDED,0.376740226198855,0.2090418370295965,6.3139975901498575,0.2949152717272532,0.3082191700290217,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Extended price: wait for a new base; do not chase,False,38.20000076293945,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",-0.06413614434477832,,,,True,MIXED_OR_MISSING
8227,巨有科技,315593c62aad24c20f49474f874a924806be4a86,2026-09-10T13:03:24Z,2026-09-10,EXTENDED,0.3609832751535349,0.2945382625893807,5.727982989842173,0.3317005969692332,0.389776357827476,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Extended price: wait for a new base; do not chase,False,217.5,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",0.017021276595744705,,,,True,MIXED_OR_MISSING
