ticker,name,industry_cluster,region,universe_layer,issuer_id,price,ret_1d,ret_5d,ret_20d,ret_60d,ma5,ma20,ma60,ma20_slope,ma60_slope,bias20,dist_20d_high,dist_52w_high,last_price_date,calendar_staleness_days,volume_ratio20,atr_pct14,er20,vol20,maxdd20,keynes_legacy,keynes_v2,trend,rs_5d_vs_bench,rs_20d_vs_bench,rs_60d_vs_bench,decision_eligible,activation_state
MMM,3M,Industrial Conglomerates,US,DISCOVERY,66740,164.7100067138672,0.012665311372183963,0.011359487268711499,-0.08429623697736621,0.02218886190476277,163.8040008544922,170.42668914794922,169.94778416951496,-0.00491436246615692,0.0014141652222080556,-0.03354335205748982,-0.09088835793424566,-0.10529446991271763,2026-09-17,1,0.8719037915892077,0.02225445664495508,0.4372766465284583,0.0510829781356839,-0.09988886515299478,-0.8084250298238347,-0.7215862732694104,BEAR,0.005065254540360442,-0.0758963436099257,-0.017370501518490844,False,RESEARCH_WHY_REQUIRED
AOS,A. O. Smith,Building Products,US,DISCOVERY,91142,56.93000030517578,0.0007031273678415051,0.003879407939602064,-0.10768023532975335,-0.002877078442129588,57.162000274658205,59.61250038146973,60.61910190582275,-0.0040326694910892,0.00048811595685020845,-0.0449989525540484,-0.11171784118954275,-0.29644106323248665,2026-09-17,1,0.8136416502096939,0.02501820048331815,0.4787457483388782,0.06137093809426461,-0.11112853036633585,-0.9175601346929533,-0.8399978303259307,BEAR,-0.0024148247887489926,-0.09928034196231283,-0.0424364418653832,False,RESEARCH_WHY_REQUIRED
ABT,Abbott Laboratories,Health Care Equipment,US,DISCOVERY,1800,102.2300033569336,-0.0012700005142909365,-0.010932635901172771,-0.10661537110640351,0.1372930345115344,102.33199920654297,108.7194995880127,103.64914525349936,-0.0032830598621943555,0.0032785239077583847,-0.05969026950704093,-0.1287710367524344,-0.23926884574279594,2026-09-17,1,1.0963218380572128,0.026707992117013996,0.4872201591447281,0.05748202548673177,-0.12616783621945082,-0.9972180486374511,-0.9036765430217198,BEAR,-0.017226868629523828,-0.098215477738963,0.0977336710882808,False,RESEARCH_WHY_REQUIRED
ABBV,AbbVie,Biotechnology,US,DISCOVERY,1551152,264.0199890136719,0.005752082556375715,0.03537250593596819,-0.007331699808555192,0.13264292627333685,261.69199829101564,259.5789970397949,254.00577799479166,0.0012121712726570792,0.002509354090133103,0.017108441070045943,-0.010827674529936604,-0.01289868841846109,2026-09-17,1,0.8287812202993046,0.02102380572316156,0.03560362287952616,0.05754874209831009,-0.06463135828292876,-0.17254455330812463,-0.0045358954085176866,STRONG_UP,0.029078273207617134,0.001068193558885322,0.09308356285008323,False,RESEARCH_WHY_REQUIRED
ACN,Accenture,IT Consulting & Other Services,US,DISCOVERY,1467373,190.2899932861328,0.0034275147573104014,0.06958568584786162,0.038870967889732766,0.5162434046513178,190.44599609375,186.43999862670898,163.49235903422039,0.002250867126308214,0.00185739102670006,0.02065004659827485,-0.037140168068265034,-0.33281382792512093,2026-09-17,1,0.6445848494053803,0.03182736557604098,0.09974783858591231,0.11266710787147703,-0.0896851310239507,0.13299957021866093,0.03441372645480702,STRONG_UP,0.06329145311951057,0.04727086125717328,0.4766840412280642,False,RESEARCH_WHY_REQUIRED
ADBE,Adobe Inc.,Application Software,US,DISCOVERY,796343,252.6699981689453,0.008662667341098995,0.01543220797184186,-0.0726685615409075,0.2797954087142118,255.752001953125,270.1240005493164,247.86799901326498,-0.0015406631648656674,0.002686203531658246,-0.06461477819400396,-0.14212474377429696,-0.3186916676129865,2026-09-17,1,0.9663157950861461,0.040849166469154805,0.17019087392059526,0.12956188870361493,-0.15014175836236754,-0.7311560992607894,-0.09545651208814569,PULLBACK,0.009137975243490803,-0.06426866817346699,0.2402360452909582,False,RESEARCH_WHY_REQUIRED
AES,AES Corporation,Independent Power Producers & Energy Traders,US,DISCOVERY,874761,14.850000381469727,0.002700875132997549,0.0033783912223301904,0.010204120690535445,0.022320495933986884,14.810000228881837,14.780500030517578,14.672457043329874,0.0002732426949067269,0.0003202361170190909,0.00470216506942589,-0.0020161110712678676,-0.13805051230592402,2026-09-17,1,0.9158966446028425,0.0032227080940699553,0.38461275122325767,0.0075474186958838846,-0.002708254183317771,0.0714788135274008,0.5199969805228074,STRONG_UP,-0.0029158415060208664,0.01860401405797596,-0.01723886748926673,False,RESEARCH_WHY_REQUIRED
AFL,Aflac,Life & Health Insurance,US,DISCOVERY,4977,116.5999984741211,-0.0017977834848196261,0.018607471221313565,0.000772434436876912,-0.013492430296371927,116.65,116.4734992980957,120.24488754272461,-0.001977452850711367,0.0001660831518646917,0.001086076891204435,-0.02173004374723797,-0.10008269287333438,2026-09-17,1,0.8155960956387017,0.015170899795117758,0.0050305389022371316,0.04362749440120103,-0.03286582772548774,-0.04462062533445568,8.906680380044851e-05,BEAR,0.012313238492962508,0.009172327804317426,-0.05305179371962554,False,RESEARCH_WHY_REQUIRED
A,Agilent Technologies,Life Sciences Tools & Services,US,DISCOVERY,1090872,156.33999633789062,0.017242461151594224,0.0923700508086136,0.0059841236334001735,0.23660460911964543,150.80599975585938,151.72899932861327,142.855517578125,-0.00035610435422056894,0.0022167841611740774,0.030389688389698577,-0.045251930760973336,-0.045251930760973336,2026-09-17,1,1.0856563811823425,0.027389943900336645,0.020151509941517372,0.08216324206887277,-0.09987424454599059,-0.08727237966845514,0.001467677319605398,STRONG_UP,0.08607581808026254,0.014384017000840688,0.1970452456963918,False,RESEARCH_WHY_REQUIRED
APD,Air Products,Industrial Gases,US,DISCOVERY,2969,286.1199951171875,-0.003343985996865917,-0.025642768383476677,-0.05639471682169517,0.019286091611788958,288.4639953613281,299.7189971923828,298.12884521484375,-0.0022375578661726443,0.0012316193836185165,-0.045372506256139644,-0.08858662188201682,-0.0913075251558978,2026-09-17,1,1.397462410203976,0.020156368230780694,0.2966691674427544,0.04589379036858953,-0.07542169256887188,-0.5027588759962888,-0.3645498345918467,BEAR,-0.031937001111827734,-0.047994823454254654,-0.020273271811464655,False,RESEARCH_WHY_REQUIRED
