audit_at_utc,run_id,decision_contract_version,ticker,taiwan_code,name,global_theme,driver_id,dynamic_driver_state,provenance_status,reaction_state,previous_reaction_state,entry_trigger_state,stock_vs_etf_state,candidate_action,portfolio_action,risk_gate_pass,decision_blockers,risk_blockers,strategy_version,deployment_mode,live_execution_authorized,execution_action,decision_session,public_lineage_id
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,6669.TW,6669,緯穎,AI_Server,AI_SERVER_SHIPMENTS,ACTIVE_RESEARCH_VALIDATED,NEEDS_SOURCE_BACKFILL,PERSISTENT,PERSISTENT,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,3231.TW,3231,緯創,AI_Server,AI_SERVER_SHIPMENTS,ACTIVE_RESEARCH_VALIDATED,NEEDS_SOURCE_BACKFILL,PERSISTENT,PERSISTENT,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,3006.TW,3006,晶豪科,Memory,MEMORY_IC_CYCLE,UNRESOLVED,NEEDS_SOURCE_BACKFILL,PERSISTENT,PERSISTENT,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2882.TW,2882,國泰金,Financials,FINANCIALS_RATE_CREDIT_CYCLE,UNRESOLVED,NEEDS_SOURCE_BACKFILL,PERSISTENT,PERSISTENT,NOT_TRIGGERED,ETF_CORE_PREFERRED,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2881.TW,2881,富邦金,Financials,FINANCIALS_RATE_CREDIT_CYCLE,UNRESOLVED,NEEDS_SOURCE_BACKFILL,PERSISTENT,PERSISTENT,NOT_TRIGGERED,ETF_CORE_PREFERRED,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2408.TW,2408,南亞科,Memory,DRAM_PRICING,UNRESOLVED,NEEDS_SOURCE_BACKFILL,PULLBACK,PULLBACK,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,3017.TW,3017,奇鋐,AI_Server,AI_SERVER_THERMAL_DENSITY,UNRESOLVED,NEEDS_SOURCE_BACKFILL,PERSISTENT,PERSISTENT,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2891.TW,2891,中信金,Financials,FINANCIALS_RATE_CREDIT_CYCLE,UNRESOLVED,NEEDS_SOURCE_BACKFILL,PRE_CONFIRMATION,PRE_CONFIRMATION,NOT_TRIGGERED,ETF_CORE_PREFERRED,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2356.TW,2356,英業達,AI_Server,AI_SERVER_SHIPMENTS,ACTIVE_RESEARCH_VALIDATED,NEEDS_SOURCE_BACKFILL,CONFIRMING,CONFIRMING,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2886.TW,2886,兆豐金,Financials,FINANCIALS_RATE_CREDIT_CYCLE,UNRESOLVED,NEEDS_SOURCE_BACKFILL,PRE_CONFIRMATION,PRE_CONFIRMATION,NOT_TRIGGERED,ETF_CORE_PREFERRED,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
