trace_at_utc,source_run_id,decision_session,canonical_closed_price_date,closed_session_verified,strategy_version,ticker,name,global_theme,driver_id,entry_style,reaction_state,current_action,entry_status,entry_structure_valid,risk_gate_pass,global_alignment_score,score_is_probability,trigger_price,buy_zone_low,buy_zone_high,invalidation_price,reference_pivot,atr_pct,ma20,ma60,rs20,rs60,keynes_v2,why_now,why_not_now
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,3693.TWO,營邦,AI_Server,AI_SERVER_RACK_BUILD,NONE,EXTENDED,DONT_CHASE,WATCHLIST,False,0.0,0.7639,False,,,,,,0.0454643395819866,556.85,512.875,0.2238545559540252,0.2724701366243041,0.8278333538972057,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE;PRICE_EXTENDED;NO_ENTRY_STYLE_FOR_CURRENT_REACTION
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,2881.TW,富邦金,Financials,FINANCIALS_RATE_CREDIT_CYCLE,CONTINUATION_BASE,PERSISTENT,PREPARE,WATCHLIST,False,0.0,0.7603,False,,,,,,0.0322733744660654,135.725,130.39166666666668,0.1324634311826267,0.1933237287471223,0.798018563589702,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,2382.TW,廣達,AI_Server,AI_SERVER_SHIPMENTS,NONE,UNKNOWN,PREPARE,WATCHLIST,False,0.0,0.7327,False,,,,,,0.025983436853002,329.825,341.6333333333333,0.1051421819092557,-0.1315242908841066,0.97521398711244,,COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE;NO_ENTRY_STYLE_FOR_CURRENT_REACTION
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,3017.TW,奇鋐,AI_Server,AI_SERVER_THERMAL_DENSITY,CONTINUATION_BASE,PERSISTENT,PREPARE,WATCHLIST,False,0.0,0.7264,False,,,,,,0.0555222088835534,3133.75,2651.583333333333,0.2368956498139203,0.444750000811253,0.6356206368035303,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,4938.TW,和碩,Consumer_Tech,CONSUMER_ELECTRONICS_CYCLE,FRESH_BREAKOUT,CONFIRMING,AVOID,WATCHLIST,False,0.0,0.671,False,,,,,,0.0273285467547123,90.6700008392334,86.27333335876465,0.042716864745254,-0.0253177706688096,0.2680269602049461,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,2356.TW,英業達,AI_Server,AI_SERVER_SHIPMENTS,FRESH_BREAKOUT,CONFIRMING,PREPARE,WATCHLIST,False,0.0,0.6544,False,,,,,,0.034708997938368,66.34999961853028,65.09833291371663,0.0021115611038866,-0.0242468218755045,0.0662153806349558,,COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,1519.TW,華城,Power,POWER_ELECTRONICS_CAPEX,NONE,UNKNOWN,PREPARE,WATCHLIST,False,0.0,0.6515,False,,,,,,0.0360015319800842,724.8,689.6878774007162,0.0898436629415588,-0.0216051950184761,0.3346788244597991,,GLOBAL_ALIGNMENT_NOT_ELIGIBLE;NO_ENTRY_STYLE_FOR_CURRENT_REACTION
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,2891.TW,中信金,Financials,FINANCIALS_RATE_CREDIT_CYCLE,FRESH_BREAKOUT,PRE_CONFIRMATION,AVOID,WATCHLIST,False,0.0,0.6448,False,,,,,,0.0239139526054947,65.61000003814698,66.65000025431316,-0.0098929645533258,-0.0367987185097578,0.1131151743990823,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,8996.TW,高力,AI_Server,AI_SERVER_THERMAL_DENSITY,NONE,UNKNOWN,PREPARE,WATCHLIST,False,0.0,0.6399,False,,,,,,0.0717032967032967,1192.75,1206.2,0.1914431998598675,-0.0113619928526749,0.2097763786986894,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE;NO_ENTRY_STYLE_FOR_CURRENT_REACTION
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,6446.TW,藥華藥,Biotech,BIOPHARMA_RISK_APPETITE,PULLBACK_RECOVERY,PULLBACK,PREPARE,WATCHLIST,False,0.0,0.6377,False,,,,,,0.0711559432933478,1424.25,1242.5060373942058,0.0038756740071124,0.3984452242316312,0.0185571959940533,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
