code,ticker,name,industry,exchange,market,listed_date,cfi_code,benchmark,theme,region,source,price,ret_1d,ret_5d,ret_20d,ret_60d,ma5,ma20,ma60,ma20_slope,ma60_slope,bias20,dist_20d_high,dist_52w_high,last_price_date,calendar_staleness_days,volume_ratio20,atr_pct14,er20,vol20,maxdd20,keynes_legacy,keynes_v2,trend,rs_5d_vs_bench,rs_20d_vs_bench,rs_60d_vs_bench,avg_turnover20_twd,median_turnover20_twd,liquidity_capacity_2pct_2d_twd,acceleration,r_rs20,r_rs60,r_accel,r_slope,r_volume,r_high,r_quality,leader_score_v1,r_turnover,rs_acceleration,r_rs_accel,extension_quality,r_extension,taiwan_candidate_score_v1,taiwan_early_score_v2,taiwan_early_score_v3,trend_stage,reaction_state,extension_risk,shadow_reason,shadow_priority_score
6148,6148.TWO,驊宏資,資訊服務業,TPEX,上櫃,2002/02/01,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN,36.650001525878906,-0.02266662597656255,0.29276899586337457,0.32789858765673174,0.11229137108552156,33.49000015258789,29.380000019073485,29.542500050862632,0.004320941752882256,-0.0031306022446996023,0.24744729414859568,-0.0578406146977436,-0.2458929079483424,2026-09-16,1,13.955906027031444,0.0357630084145185,0.6882132343929154,0.1721972675157059,-0.02266662597656255,2.4781824171443305,1.3104978425022085,REBOUND,0.3565962582991067,0.3493144231829455,0.1661133500634292,55157601.34725933,2324221.25,92968.85,0.21079434894919163,0.9898528665651953,0.9061390157280568,0.9979705733130391,0.8858447488584474,0.9989842559674962,0.5525114155251142,0.9852642276422764,0.9206470705831995,0.7062404870624048,0.2692676525033703,0.9984779299847792,0.0,0.00837138508371385,0.8691481255138401,0.8499435540446094,0.9147468063864935,EARLY,EXTENDED,EXTENDED,BELOW_LIQUIDITY_FLOOR,0.9147468063864935
5464,5464.TWO,霖宏,電子零組件業,TPEX,上櫃,2000/11/08,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN,93.69999694824219,0.0997652617894298,0.13164243351139548,0.32531826015265275,-0.04387758216079396,89.33999786376953,76.19999961853027,79.46166661580403,0.009856311661233259,0.0006998046361754944,0.22965875875747743,0.0,-0.1403670004748423,2026-09-16,1,1.3217587820331538,0.05610612021697491,0.4339622641509434,0.21483447663610844,-0.06756756756756754,2.340137738290089,0.6571377693004913,REBOUND,0.165318970547653,0.16907754839024092,0.09856217916463195,72261083.30393752,38116416.983421326,1524656.679336853,0.0503128684732323,0.9518011161846778,0.8310502283105022,0.9644850329781837,0.969558599695586,0.8577958354494667,0.7838660578386606,0.9568089430894309,0.9056360232623117,0.7316083206494165,0.12304958345009276,0.9812278031456113,0.0,0.00837138508371385,0.8429962681547152,0.8337590897384103,0.8969409662774954,EARLY,EXTENDED,EXTENDED,BELOW_LIQUIDITY_FLOOR,0.8969409662774954
3311,3311.TW,閎暉,通信網路業,TWSE,上市,2004/03/08,ESVUFR,^TWII,通信網路業,TW,TWSE_ISIN,38.099998474121094,0.03532606695685314,0.17956654408851236,0.21337576232443367,0.008083594841413078,35.349999618530276,32.93000001907349,33.90838047663371,0.0021786076201879127,-0.002716199417585487,0.1569996493183441,-0.007812579162415734,-0.09449333614673872,2026-09-16,1,4.15054455448022,0.0316835436871249,0.6036036871981642,0.12080300167693102,-0.038109756984007204,1.5772015831743613,1.066152290173948,REBOUND,0.2002474930279765,0.165635081865946,-0.024355881478670183,17721603.61701212,4054928.70306015,162197.148122406,0.12622260350740394,0.9497716894977168,0.480466768138001,0.9898528665651953,0.8122780314561137,0.9832402234636871,0.8746829020801623,0.9806910569105691,0.8471034273778619,0.5667174023338407,0.15883872256149,0.9923896499238964,0.21500175340827954,0.021816336884830034,0.8436250952201112,0.8211477251838537,0.8916717720339113,EARLY,PRE_CONFIRMATION,NORMAL,BELOW_LIQUIDITY_FLOOR,0.8916717720339113
5251,5251.TWO,天鉞電,光電業,TPEX,上櫃,2012/11/26,ESVUFR,^TWII,光電業,TW,TWSE_ISIN,30.149999618530273,0.034305317773119626,0.18467578446736255,0.21084337672411113,-0.12608696757883264,27.429999542236327,26.12249975204468,27.210833231608074,0.0014579784650557983,-0.002806699587467514,0.1541774295995677,-0.05928236080371685,-0.371875007947286,2026-09-16,1,11.306414662232541,0.03364131945653514,0.6774193548387096,0.11089922222660156,-0.04143120548891133,1.5531408864806566,1.2879205224777643,REBOUND,0.17698219328872167,0.1685620427700849,0.008756581243366424,5602254.624369621,956753.7677440643,38270.15070976257,0.13196494028633476,0.9512937595129376,0.5722983257229832,0.991374936580416,0.7650938609842719,0.9974606399187405,0.252156265854896,0.9847560975609756,0.8009360319417819,0.42364282090309485,0.13484168259620044,0.9863013698630136,0.22911285200216147,0.023338406900050734,0.8348251373853476,0.8028097712841981,0.8789144321595739,EARLY,PRE_CONFIRMATION,NORMAL,BELOW_LIQUIDITY_FLOOR,0.8789144321595739
3467,3467.TWO,台灣精材,半導體業,TPEX,上櫃,2025/03/25,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN,71.5999984741211,0.011299369885315658,0.38491290942971745,0.5582153924983047,0.12658446206798524,63.74000015258789,52.63499984741211,52.13806680043538,0.011803949491259756,-0.004500344866262319,0.3603115547010196,-0.06405230752782887,-0.10404387903360202,2026-09-16,1,12.317931439029541,0.04569034719454203,0.7714285910961858,0.17270692013393327,-0.034412969846749575,4.204533397670728,2.493376139353452,STRONG_UP,0.4139619924244,0.5532796633258223,0.08309941184437697,17640671.77564926,3387875.045776367,135515.0018310547,0.2453590613051413,0.9954337899543378,0.806697108066971,0.9989852866565195,0.9766615930999493,0.9979685119349924,0.854388635210553,0.9964430894308943,0.9425918450680955,0.5662100456621004,0.27564207659294443,0.9989852866565195,0.0,0.00837138508371385,0.8747323488361469,0.8525605915877524,0.9238571585773951,PERSISTENT,EXTENDED,EXTENDED,BELOW_LIQUIDITY_FLOOR,0.8747323488361469
5202,5202.TWO,力新,資訊服務業,TPEX,上櫃,2000/10/18,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN,13.949999809265137,-0.014134262519924334,0.1923076954427163,0.20215612755369006,-0.06980703864842164,12.889999771118164,12.100373315811158,12.669370619455973,0.001101125122872425,-0.0035913072562466716,0.15285697764689066,-0.06060609758149482,-0.30802716214513437,2026-09-16,1,9.299938257305852,0.03251407841585953,0.6265303471410342,0.13799499686055405,-0.025000015894571903,1.2895613901099967,0.9178372524685753,REBOUND,0.23299744400822986,0.2046683065650805,-0.021974528208753008,6111175.820024585,1156834.0968632698,46273.36387453079,0.1417686635542938,0.9670218163368848,0.4885844748858447,0.9939117199391172,0.7321156773211568,0.9949212798374809,0.4089294774226281,0.9730691056910569,0.7994626610794899,0.43734145104008115,0.18183036736695973,0.9949264332825977,0.23571511176554671,0.023845763571790968,0.8334514590154146,0.7968689934476082,0.8744458780920253,EARLY,PRE_CONFIRMATION,NORMAL,BELOW_LIQUIDITY_FLOOR,0.8744458780920253
6140,6140.TWO,訊達,資訊服務業,TPEX,上櫃,2002/02/04,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN,21.25,0.05985041439409944,0.3117283332858458,0.30368104261531914,0.016746430041051807,18.45,17.245000076293945,17.784999926884968,0.0012114932626313614,-0.004803772694901049,0.2322412238902556,-0.03409090909090906,-0.4014084507042254,2026-09-16,1,9.671038495626373,0.030756314061269042,0.5657146195393675,0.16946661503192983,-0.0826210210043109,2.250370248235412,1.0137501445466108,REBOUND,0.25640591087261067,0.2255852072134341,0.0060404895350200105,3151551.4854315757,1014014.497051239,40560.57988204956,0.23580807263201603,0.9736174530695079,0.5657026889903602,0.9984779299847792,0.7427701674277016,0.9954291518537328,0.1933028919330289,0.9796747967479674,0.797434291359409,0.3378995433789954,0.20000960906925214,0.9959411466260781,0.0,0.00837138508371385,0.8318299800651545,0.7900476113282251,0.8730146578936678,EARLY,EXTENDED,EXTENDED,BELOW_LIQUIDITY_FLOOR,0.8730146578936678
6221,6221.TWO,晉泰,資訊服務業,TPEX,上櫃,2003/01/06,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN,29.100000381469727,0.033747807311304445,0.37588656767512063,0.3765902136989159,0.32604587209388236,25.470000076293946,22.5369891166687,21.25596268971761,0.005706831103440118,-0.0005656602121805519,0.2912106506696994,-0.059773839607945245,-0.25059227602925815,2026-09-16,1,14.022447259841536,0.0293323623490059,0.824894767444848,0.16566101948173995,-0.03204315379935174,2.3466712391772084,1.8751985091182786,STRONG_UP,0.36481422645533,0.33317213841813587,0.302346397379223,14860031.733471204,1914816.7179412842,76592.66871765137,0.28173901425039166,0.9878234398782344,0.9644850329781837,1.0,0.9162861491628614,0.9994921279837481,0.5423642820903095,0.9923780487804879,0.9349049273669361,0.5449010654490106,0.28152119185079605,0.9994926433282597,0.0,0.00837138508371385,0.8657003172272274,0.8408138924211985,0.9134298961211897,PERSISTENT,EXTENDED,EXTENDED,BELOW_LIQUIDITY_FLOOR,0.8657003172272274
2254,2254.TW,巨鎧精密-創,汽車工業,TWSE,上市臺灣創新板,2023/10/20,ESVUFR,^TWII,汽車工業,TW,TWSE_ISIN,74.19999694824219,0.015047859057213397,0.1380368162769161,0.2640544460620984,0.25126472011604406,69.9,63.509999656677245,61.17999998728434,0.00553011934109802,0.0001185568854440825,0.16831990787833417,-0.03636367599685475,-0.2081109993074105,2026-09-16,1,3.1099966956285106,0.03080477233483308,0.7635466388099797,0.09585539168555907,-0.031404983898824845,2.0367545929005435,2.10335465964113,STRONG_UP,0.19232356256694705,0.2282388453119073,0.2856933899739057,60961831.86985321,44860601.27258301,1794424.0509033203,0.07202320476139151,0.9751395230847285,0.9599188229325215,0.9781836631151699,0.9127346524606799,0.9700355510411376,0.6357179096905125,0.9939024390243902,0.9337352500466338,0.715372907153729,0.13526385123897022,0.9868087265347539,0.15840046060832913,0.019279553526128868,0.8643279292610974,0.84930970773185,0.9113345248978298,PERSISTENT,PERSISTENT,NORMAL,BELOW_LIQUIDITY_FLOOR,0.8643279292610974
2427,2427.TW,三商電,資訊服務業,TWSE,上市,2000/09/11,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN,23.649999618530273,-0.028747464146741897,0.06053813576935685,0.07744869232356066,0.08887121633307138,23.139999771118163,22.494999980926515,22.711995760599773,0.001103680640781912,0.00020211159849457485,0.05134472720973915,-0.03469389312121329,-0.17179240818929697,2026-09-16,1,4.6698445980970025,0.02672909797316755,0.2698408757811419,0.08765262061897917,-0.04595190927264414,0.5262126922346024,0.2384278167282616,REBOUND,0.13815339887879374,0.09237067308713276,0.17791034273059758,19661310.974925708,6675921.445010185,267036.8578004074,0.04117596268846668,0.9030948756976154,0.9142567224759005,0.9518011161846778,0.732623033992897,0.9862874555611986,0.7194317605276509,0.8861788617886179,0.8838473420343221,0.5814307458143074,0.11506073060701055,0.9791983764586504,0.7432763639513043,0.2100456621004566,0.8177721789995867,0.7947548917490886,0.8591217477464158,EARLY,PRE_CONFIRMATION,NORMAL,BELOW_LIQUIDITY_FLOOR,0.8591217477464158
