code,ticker,name,industry,exchange,market,listed_date,cfi_code,benchmark,theme,region,source
6474,6474.TWO,華豫寧,電子通路業,TPEX,上櫃,2025/11/25,ESVUFR,^TWII,電子通路業,TW,TWSE_ISIN
6482,6482.TWO,弘煜科,文化創意業,TPEX,上櫃,2016/06/13,ESVUFR,^TWII,文化創意業,TW,TWSE_ISIN
6485,6485.TWO,點序,半導體業,TPEX,上櫃,2015/11/17,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6486,6486.TWO,互動,通信網路業,TPEX,上櫃,2016/09/13,ESVUFR,^TWII,通信網路業,TW,TWSE_ISIN
6488,6488.TWO,環球晶,半導體業,TPEX,上櫃,2015/09/25,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6492,6492.TWO,生華科,生技醫療業,TPEX,上櫃,2017/04/24,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6494,6494.TWO,九齊,半導體業,TPEX,上櫃,2016/05/09,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6496,6496.TWO,科懋,生技醫療業,TPEX,上櫃,2016/01/07,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6498,6498.TWO,久禾光,光電業,TPEX,上櫃,2025/05/20,ESVUFR,^TWII,光電業,TW,TWSE_ISIN
6499,6499.TWO,益安,生技醫療業,TPEX,上櫃,2016/07/27,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6506,6506.TWO,雙邦,紡織纖維,TPEX,上櫃,2011/05/03,ESVUFR,^TWII,紡織纖維,TW,TWSE_ISIN
6508,6508.TWO,惠光,農業科技業,TPEX,上櫃,2004/03/22,ESVUFR,^TWII,農業科技業,TW,TWSE_ISIN
6509,6509.TWO,聚和,化學工業,TPEX,上櫃,2004/04/12,ESVUFR,^TWII,化學工業,TW,TWSE_ISIN
6510,6510.TWO,精測,半導體業,TPEX,上櫃,2016/03/24,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6512,6512.TWO,啟發電,其他電子業,TPEX,上櫃,2016/03/25,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6516,6516.TWO,勤崴國際,資訊服務業,TPEX,上櫃,2019/05/06,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN
6517,6517.TWO,保勝光學,光電業,TPEX,上櫃,2022/12/15,ESVUFR,^TWII,光電業,TW,TWSE_ISIN
6523,6523.TWO,達爾膚,生技醫療業,TPEX,上櫃,2016/06/16,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6527,6527.TWO,明達醫,生技醫療業,TPEX,上櫃,2019/12/25,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6530,6530.TWO,創威,通信網路業,TPEX,上櫃,2018/01/23,ESVUFR,^TWII,通信網路業,TW,TWSE_ISIN
6532,6532.TWO,瑞耘,半導體業,TPEX,上櫃,2016/09/26,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6535,6535.TWO,順藥,生技醫療業,TPEX,上櫃,2016/09/26,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6538,6538.TWO,倉和,電子零組件業,TPEX,上櫃,2016/10/21,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN
6542,6542.TWO,隆中,文化創意業,TPEX,上櫃,2016/09/08,ESVUFR,^TWII,文化創意業,TW,TWSE_ISIN
6546,6546.TWO,正基,通信網路業,TPEX,上櫃,2022/05/24,ESVUFR,^TWII,通信網路業,TW,TWSE_ISIN
6547,6547.TWO,高端疫苗,生技醫療業,TPEX,上櫃,2018/04/17,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
