run_id,driver_id,driver_label,global_theme,configured_peer_count,live_peer_count,peer_tickers,peer_names,above_ma20_pct,above_ma60_pct,positive_rs20_pct,median_ret20,median_rs20,peer_signal
20260919T131926+0800-ad2c247a,BNCT_RADIOTHERAPY_ADOPTION,BNCT / particle-radiotherapy adoption,Medtech_Radiotherapy,2,2,6302.T;SHL.DE,6302.T Sumitomo Heavy Industries; SHL.DE Siemens Healthineers,0.5,1.0,0.5,0.01206401485096098,0.03393389694331511,MIXED
20260919T131926+0800-ad2c247a,CABLE_HARNESS_INTERCONNECT,Cable-harness / interconnect demand,Interconnect,2,2,APH;TEL,APH Amphenol; TEL TE Connectivity,0.5,0.5,1.0,0.018665774973543603,0.019859025922485896,MIXED
20260919T131926+0800-ad2c247a,CAPITAL_MARKETS_ACTIVITY,Capital-markets / brokerage activity,Capital_Markets,2,2,IBKR;SCHW,IBKR Interactive Brokers; SCHW Charles Schwab,0.0,0.5,0.5,-0.016001360097643025,-0.014808109148700732,BROADLY_WEAK
20260919T131926+0800-ad2c247a,CCL_LOW_LOSS_MATERIAL_DEMAND,High-speed / low-loss CCL material demand,PCB_Interconnect,3,3,TTMI;4062.T;6787.T,TTMI TTM Technologies; 4062.T IBIDEN; 6787.T Meiko Electronics,0.3333333333333333,0.3333333333333333,1.0,0.03138664148881931,0.03412885323856918,MIXED
20260919T131926+0800-ad2c247a,CLINICAL_REGULATORY_COMMERCIALIZATION,Clinical / regulatory / commercialization milestones,Biotech,2,2,XBI;IBB,XBI SPDR S&P Biotech ETF; IBB iShares Biotechnology ETF,0.0,0.5,0.0,-0.03525175260756608,-0.034058501658623785,BROADLY_WEAK
20260919T131926+0800-ad2c247a,CLOUD_MSP_ENTERPRISE_SPEND,Cloud adoption / MSP enterprise spend,Cloud_AI,5,5,SKYY;CLOU;MSFT;AMZN;ORCL,SKYY Cloud Computing ETF; CLOU Cloud Computing ETF; MSFT Microsoft Azure; AMZN Amazon AWS; ORCL Oracle Cloud,0.2,1.0,0.8,0.016372878429159243,0.017566129378101536,MIXED
20260919T131926+0800-ad2c247a,CONNECTIVITY_INTERFACE_IC_CYCLE,Connectivity / interface IC demand,Connectivity_IC,3,3,MRVL;MCHP;MXL,MRVL Marvell Technology; MCHP Microchip Technology; MXL MaxLinear,1.0,0.6666666666666666,0.3333333333333333,-0.026931176665365153,-0.02573792571642286,MIXED
20260919T131926+0800-ad2c247a,CONSUMER_ELECTRONICS_CYCLE,Consumer electronics demand cycle,Consumer_Tech,4,4,AAPL;SONY;6758.T;005930.KS,AAPL Apple; SONY Sony Group; 6758.T Sony Group; 005930.KS Samsung Electronics,0.5,0.75,0.25,-0.014169381940273618,-0.006018491388987968,MIXED
20260919T131926+0800-ad2c247a,CONTACT_LENS_DEMAND,Contact-lens demand cycle,Vision_Care,2,2,COO;ALC,COO CooperCompanies; ALC Alcon,0.0,0.0,0.0,-0.1911071535624952,-0.1899139026135529,BROADLY_WEAK
20260919T131926+0800-ad2c247a,CONTAINER_FREIGHT,Container freight / liner shipping cycle,Shipping,5,5,ZIM;MATX;MAERSK-B.CO;HLAG.DE;1919.HK,ZIM ZIM; MATX Matson; MAERSK-B.CO Maersk; HLAG.DE Hapag-Lloyd; 1919.HK COSCO Shipping Holdings,0.6,1.0,0.8,0.07450289974707602,0.07569615069601832,MIXED
20260919T131926+0800-ad2c247a,COPPER_COMMODITY_TRADE_INVENTORY,Copper commodity / trade / inventory,Commodities,2,2,CPER;COPX,CPER United States Copper Index Fund; COPX Global X Copper Miners ETF,0.5,1.0,0.5,-0.00355197351223846,-0.0023587225632961673,MIXED
20260919T131926+0800-ad2c247a,CYBERSECURITY_IT_SERVICES_CYCLE,Cybersecurity / enterprise IT services cycle,Cybersecurity,2,2,PANW;CRWD,PANW Palo Alto Networks; CRWD CrowdStrike,1.0,1.0,1.0,0.14433137079066605,0.14552462173960834,BROADLY_POSITIVE
20260919T131926+0800-ad2c247a,DATACENTER_COOLING_INFRA,Data-center cooling infrastructure capex,AI_Infrastructure,3,3,VRT;NVT;ETN,VRT Vertiv; NVT nVent Electric; ETN Eaton,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.022827374301552794,0.024020625250495087,BROADLY_POSITIVE
20260919T131926+0800-ad2c247a,DATACENTER_POWER_INFRA,Data-center power infrastructure capex,AI_Infrastructure,5,5,VRT;ETN;NVT;SU.PA;TEL,VRT Vertiv; ETN Eaton; NVT nVent Electric; SU.PA Schneider Electric; TEL TE Connectivity,0.6,0.6,0.6,0.022827374301552794,0.024020625250495087,MIXED
20260919T131926+0800-ad2c247a,DIODE_RECTIFIER_CYCLE,Discrete diode / rectifier cycle,Power_Discrete,3,3,DIOD;VSH;ON,DIOD Diodes Incorporated; VSH Vishay Intertechnology; ON onsemi,0.6666666666666666,0.0,0.6666666666666666,0.01796346618014777,0.019156717129090062,BROADLY_POSITIVE
20260919T131926+0800-ad2c247a,DISCRETE_POWER_SEMI_CYCLE,Discrete / power semiconductor demand cycle,Power_Semiconductor,2,2,ON;IFX.DE,ON onsemi; IFX.DE Infineon Technologies,0.0,0.0,0.5,-0.03147381881884076,-0.013389394103786534,BROADLY_WEAK
20260919T131926+0800-ad2c247a,DISPLAY_DRIVER_IC_CYCLE,Display driver IC / TCON demand cycle,Display_IC,3,3,SYNA;HIMX;108320.KS,SYNA Synaptics; HIMX Himax Technologies; 108320.KS LX Semicon,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.03382949932341006,-0.03112150717608575,BROADLY_WEAK
20260919T131926+0800-ad2c247a,DISPLAY_OPTICAL_FILM,Display optical-film / polarizer demand,Display_Materials,2,2,6988.T;4005.T,6988.T Nitto Denko; 4005.T Sumitomo Chemical,1.0,1.0,1.0,0.013534230692354099,0.028642760845983106,BROADLY_POSITIVE
20260919T131926+0800-ad2c247a,DISPLAY_PANEL_CYCLE,Display panel demand / pricing and utilization cycle,Display,4,4,034220.KS;LPL;000725.SZ;005930.KS,034220.KS LG Display; LPL LG Display; 000725.SZ BOE Technology; 005930.KS Samsung Electronics,0.5,0.0,0.0,-0.09430681499485838,-0.11308148153688624,DATA_UNAVAILABLE
20260919T131926+0800-ad2c247a,DIVERSIFIED_ELECTRONICS_ODM,Diversified electronics ODM / module demand,Electronics_ODM,2,2,JBL;FLEX,JBL Jabil; FLEX Flex,0.0,0.0,0.0,-0.035173217059412065,-0.03397996611046977,BROADLY_WEAK
20260919T131926+0800-ad2c247a,DOCUMENT_SCANNER_IMAGING_CYCLE,Document scanner / digital-imaging demand,Document_Imaging,2,2,7751.T;6724.T,7751.T Canon; 6724.T Seiko Epson,0.5,1.0,0.5,0.003424813085875944,0.01853334323950495,MIXED
20260919T131926+0800-ad2c247a,DRAM_PRICING,Commodity DRAM pricing / bit demand,Memory,3,3,MU;000660.KS;005930.KS,MU Micron; 000660.KS SK Hynix; 005930.KS Samsung Electronics,1.0,0.6666666666666666,0.6666666666666666,0.042562550650947495,0.04375580159988979,BROADLY_POSITIVE
20260919T131926+0800-ad2c247a,DRY_BULK_FREIGHT,Dry-bulk freight / commodity shipping cycle,Shipping,4,4,SBLK;9101.T;9104.T;9107.T,SBLK Star Bulk; 9101.T Nippon Yusen; 9104.T Mitsui OSK Lines; 9107.T Kawasaki Kisen,1.0,1.0,1.0,0.040900053166179284,0.05600858331980829,BROADLY_POSITIVE
20260919T131926+0800-ad2c247a,DRY_BULK_SHIPPING_CYCLE,Dry-bulk shipping / fleet cycle,Dry_Bulk,2,2,SBLK;GOGL,SBLK Star Bulk Carriers; GOGL Golden Ocean Group,1.0,0.5,1.0,0.059156809165852975,0.06035006011479527,BROADLY_POSITIVE
20260919T131926+0800-ad2c247a,EDGE_AI_IP_ASIC,Edge-AI IP / ASIC adoption,Edge_AI,2,2,ARM;QCOM,ARM Arm Holdings; QCOM Qualcomm,1.0,1.0,1.0,0.10245521407785019,0.10364846502679248,BROADLY_POSITIVE
20260919T131926+0800-ad2c247a,EDGE_AI_SENSOR_ODM,Edge-AI sensor / HMI ODM demand,Edge_AI,2,2,JBL;FLEX,JBL Jabil; FLEX Flex,0.0,0.0,0.0,-0.035173217059412065,-0.03397996611046977,BROADLY_WEAK
20260919T131926+0800-ad2c247a,ELECTRONICS_CHASSIS_DEMAND,Electronics chassis / mechanical enclosure demand,Electronics_Mechanical,2,2,JBL;FLEX,JBL Jabil; FLEX Flex,0.0,0.0,0.0,-0.035173217059412065,-0.03397996611046977,BROADLY_WEAK
20260919T131926+0800-ad2c247a,ELECTRONICS_MANUFACTURING_SERVICES_CYCLE,Electronics manufacturing services / SMT cycle,Electronics_Manufacturing,2,2,FLEX;JBL,FLEX Flex; JBL Jabil,0.0,0.0,0.0,-0.035173217059412065,-0.03397996611046977,BROADLY_WEAK
20260919T131926+0800-ad2c247a,ELECTRONICS_WASTE_RECOVERY,Electronics-process waste recovery / environmental services,Environmental_Services,2,2,CLH;CWST,CLH Clean Harbors; CWST Casella Waste Systems,0.0,0.5,0.0,-0.03093757885698939,-0.029744327908047097,BROADLY_WEAK
20260919T131926+0800-ad2c247a,EMBEDDED_ETHERNET_IC_CYCLE,Embedded Ethernet / connectivity IC demand cycle,Networking_IC,2,2,MCHP;NXPI,MCHP Microchip Technology; NXPI NXP Semiconductors,1.0,0.0,0.5,-0.005495284600857964,-0.004302033651915671,BROADLY_POSITIVE
20260919T131926+0800-ad2c247a,ENGINEERING_EPC_CAPEX,Engineering / EPC project capex cycle,Engineering_EPC,2,2,FLR;J,FLR Fluor; J Jacobs Solutions,0.5,1.0,0.5,0.010921266561222831,0.012114517510165124,MIXED
20260919T131926+0800-ad2c247a,ENTERPRISE_CYBER_SPEND,Enterprise cybersecurity spending,Cybersecurity,5,5,HACK;CIBR;PANW;CRWD;FTNT,HACK Cybersecurity ETF; CIBR Cybersecurity ETF; PANW Palo Alto Networks; CRWD CrowdStrike; FTNT Fortinet,1.0,1.0,1.0,0.08107863531069048,0.08227188625963278,BROADLY_POSITIVE
