ticker,reason,effective_date
SNBR,Sleep Number common stock suspended from Nasdaq after Chapter 11 filing; no longer suitable for live peer-price breadth,2026-06-23
MPX,Marine Products acquired by MasterCraft and ceased NYSE trading,2026-05-15
BASF.DE,Invalid Yahoo Finance symbol for BASF Xetra listing; use BAS.DE,2026-09-16
